ID,Min of Date Sent,Max of Date Sent,Days In Production,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.06859E+11,11/7/2022,1/19/2023,73,,,,,,,,
1.07165E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07165E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07165E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
